source_page,category,code,name,sale_price,source_initial_stock,source_total_stock,import_stock,requires_review
1,Abarrotes,000100000,Termo Mickey Mouse,185.0,0.0,0.0,0,
1,Abarrotes,000196232,Café Pureza 1/2 Libra,80.0,5.0,5.0,5.0,
1,Abarrotes,000196233,AZUCAR PANTALEON,13.7,0.0,0.0,0,
1,Abarrotes,000198388,CHINELAS SUAVE GANCHO,40.0,0.0,0.0,0,
1,Abarrotes,000198389,CHINELA ROLTER,75.0,0.0,0.0,0,
1,Abarrotes,000198390,VASELINA SIMPLE PEQUEÑA (MI BEBE Y KB),16.0,0.0,0.0,0,
1,Abarrotes,000198391,POLLO MARINADO,50.0,0.8,0.8,0.8,
1,Abarrotes,000198392,CEPILLO ORAL DE NIÑO,13.0,0.0,0.0,0,
1,Abarrotes,000198393,ACETONA DAROSA 60 ML,35.0,4.0,4.0,4.0,
1,Abarrotes,000198394,"TOBILLERAS LLOYD""S",8.33,2.0,2.0,2.0,
1,Abarrotes,000198395,CALCETINES BRENDAS SCHOOL,20.0,1.0,1.0,1.0,
1,Abarrotes,000198396,MOCHILA DELTA CREMA,385.0,0.0,0.0,0,
1,Abarrotes,000198397,MOCHILA DELTA AZUL,390.0,0.0,0.0,0,
1,Abarrotes,000198398,MOCHILA DELTA ROJA PEQ,300.0,0.0,0.0,0,
1,Abarrotes,000198399,MOCHILAS DELTA,350.0,0.0,0.0,0,
1,Abarrotes,000198400,BOLSITOS CR2,300.0,0.0,0.0,0,
1,Abarrotes,000198401,GELATINA FRUIT JELLY 1575g 48 und,5.0,823.0,823.0,823.0,
1,Abarrotes,000198402,CUADERNO DE 5 MATERIA,170.0,4.0,4.0,4.0,
1,Abarrotes,000198403,ESPUMIA DE COLORES,1.0,0.0,0.0,0,
1,Abarrotes,000198404,MORTADELA KIMBY 150 GM,25.0,0.0,0.0,0,
1,Abarrotes,000198405,PAN TOSTADO INTEGRAL,45.0,0.0,0.0,0,
1,Abarrotes,000198406,JUGO MARAVILLA,190.0,0.0,0.0,0,
1,Abarrotes,000198407,Arroz Economico 80/20,13.8,0.0,0.0,0,
1,Abarrotes,000198408,ARROZ CONTINENTAL,15.3,0.0,0.0,0,
2,Abarrotes,000198409,VELADORAS DE TUBO MEDIANA Y GRANDE,90.0,0.0,0.0,0,
2,Abarrotes,000198410,GORRA FITTED,200.0,0.0,0.0,0,
2,Abarrotes,000198411,GORRA TOMMY NEGRA 1985,310.0,0.0,0.0,0,
